stock_ticker,fetched_at,error_msg,status,52_week_low,industry,sector,market_cap,volume,52_week_high,previous_close,beta,current_price,long_name,news_ids,dividend_yield,linked_news_ids
AAPL,2025-05-06T13:32:02.048172+00:00,RetryError[<Future at 0x222c9c0b7f0 state=finished raised YFRateLimitError>],error,,,,,,,,,,,,,
AMD,,,,112.8,Semiconductors,Technology,188164816896.0,40373276.0,227.3,118.86,1.706,115.95,"Advanced Micro Devices, Inc.",[],,
