date,latest_close,previous_close,stock_ticker
2025-02-03T00:00:00.000Z,227.759879333,235.7411145239,AAPL
2025-02-04T00:00:00.000Z,232.5446248355,227.759879333,AAPL
2025-02-05T00:00:00.000Z,232.2149868363,232.5446248355,AAPL
2025-02-06T00:00:00.000Z,232.9641641071,232.2149868363,AAPL
2025-02-07T00:00:00.000Z,227.3802961825,232.9641641071,AAPL
2025-02-10T00:00:00.000Z,227.65,227.3802961825,AAPL
2025-02-11T00:00:00.000Z,232.62,227.65,AAPL
2025-02-12T00:00:00.000Z,236.87,232.62,AAPL
2025-02-13T00:00:00.000Z,241.53,236.87,AAPL
2025-02-14T00:00:00.000Z,244.6,241.53,AAPL
2025-02-18T00:00:00.000Z,244.47,244.6,AAPL
2025-02-19T00:00:00.000Z,244.87,244.47,AAPL
2025-02-20T00:00:00.000Z,245.83,244.87,AAPL
2025-02-21T00:00:00.000Z,245.55,245.83,AAPL
2025-02-24T00:00:00.000Z,247.1,245.55,AAPL
2025-02-25T00:00:00.000Z,247.04,247.1,AAPL
2025-02-26T00:00:00.000Z,240.36,247.04,AAPL
2025-02-27T00:00:00.000Z,237.3,240.36,AAPL
2025-02-28T00:00:00.000Z,241.84,237.3,AAPL
2025-03-03T00:00:00.000Z,238.03,241.84,AAPL
2025-03-04T00:00:00.000Z,235.93,238.03,AAPL
2025-03-05T00:00:00.000Z,235.74,235.93,AAPL
2025-03-06T00:00:00.000Z,235.33,235.74,AAPL
2025-03-07T00:00:00.000Z,239.07,235.33,AAPL
2025-03-10T00:00:00.000Z,227.48,239.07,AAPL
2025-03-11T00:00:00.000Z,220.84,227.48,AAPL
2025-03-12T00:00:00.000Z,216.98,220.84,AAPL
2025-03-13T00:00:00.000Z,209.68,216.98,AAPL
2025-03-14T00:00:00.000Z,213.49,209.68,AAPL
2025-03-17T00:00:00.000Z,214.0,213.49,AAPL
2025-03-18T00:00:00.000Z,212.69,214.0,AAPL
2025-03-19T00:00:00.000Z,215.24,212.69,AAPL
2025-03-20T00:00:00.000Z,214.1,215.24,AAPL
2025-03-21T00:00:00.000Z,218.27,214.1,AAPL
2025-03-24T00:00:00.000Z,220.73,218.27,AAPL
2025-03-25T00:00:00.000Z,223.75,220.73,AAPL
2025-03-26T00:00:00.000Z,221.53,223.75,AAPL
2025-03-27T00:00:00.000Z,223.85,221.53,AAPL
2025-03-28T00:00:00.000Z,217.9,223.85,AAPL
2025-03-31T00:00:00.000Z,222.13,217.9,AAPL
2025-04-01T00:00:00.000Z,223.19,222.13,AAPL
2025-04-02T00:00:00.000Z,223.89,223.19,AAPL
2025-04-03T00:00:00.000Z,203.19,223.89,AAPL
2025-04-04T00:00:00.000Z,188.38,203.19,AAPL
2025-04-07T00:00:00.000Z,181.46,188.38,AAPL
2025-04-08T00:00:00.000Z,172.42,181.46,AAPL
2025-04-09T00:00:00.000Z,198.85,172.42,AAPL
2025-04-10T00:00:00.000Z,190.42,198.85,AAPL
2025-04-11T00:00:00.000Z,198.15,190.42,AAPL
2025-04-14T00:00:00.000Z,202.52,198.15,AAPL
2025-04-15T00:00:00.000Z,202.14,202.52,AAPL
2025-04-16T00:00:00.000Z,194.27,202.14,AAPL
2025-04-17T00:00:00.000Z,196.98,194.27,AAPL
2025-04-21T00:00:00.000Z,193.16,196.98,AAPL
2025-04-22T00:00:00.000Z,199.74,193.16,AAPL
2025-04-23T00:00:00.000Z,204.6,199.74,AAPL
2025-04-24T00:00:00.000Z,208.37,204.6,AAPL
2025-04-25T00:00:00.000Z,209.28,208.37,AAPL
2025-04-28T00:00:00.000Z,210.14,209.28,AAPL
2025-04-29T00:00:00.000Z,211.21,210.14,AAPL
2025-04-30T00:00:00.000Z,212.5,211.21,AAPL
2025-05-01T00:00:00.000Z,213.32,212.5,AAPL
2025-05-02T00:00:00.000Z,205.35,213.32,AAPL
2025-05-05T00:00:00.000Z,198.89,205.35,AAPL
2025-05-06T00:00:00.000Z,198.51,198.89,AAPL
2025-05-07T00:00:00.000Z,196.25,198.51,AAPL
2025-02-03T00:00:00.000Z,410.1020232157,414.2337821374,MSFT
2025-02-04T00:00:00.000Z,411.5491368477,410.1020232157,MSFT
2025-02-05T00:00:00.000Z,412.4673054969,411.5491368477,MSFT
2025-02-06T00:00:00.000Z,414.9922692824,412.4673054969,MSFT
2025-02-07T00:00:00.000Z,408.934352216,414.9922692824,MSFT
2025-02-10T00:00:00.000Z,411.3994354375,408.934352216,MSFT
2025-02-11T00:00:00.000Z,410.6209881044,411.3994354375,MSFT
2025-02-12T00:00:00.000Z,408.2257655411,410.6209881044,MSFT
2025-02-13T00:00:00.000Z,409.7227796431,408.2257655411,MSFT
2025-02-14T00:00:00.000Z,407.6169798062,409.7227796431,MSFT
2025-02-18T00:00:00.000Z,408.8245711819,407.6169798062,MSFT
2025-02-19T00:00:00.000Z,413.944359411,408.8245711819,MSFT
2025-02-20T00:00:00.000Z,416.13,413.944359411,MSFT
2025-02-21T00:00:00.000Z,408.21,416.13,MSFT
2025-02-24T00:00:00.000Z,404.0,408.21,MSFT
2025-02-25T00:00:00.000Z,397.9,404.0,MSFT
2025-02-26T00:00:00.000Z,399.73,397.9,MSFT
2025-02-27T00:00:00.000Z,392.53,399.73,MSFT
2025-02-28T00:00:00.000Z,396.99,392.53,MSFT
2025-03-03T00:00:00.000Z,388.49,396.99,MSFT
2025-03-04T00:00:00.000Z,388.61,388.49,MSFT
2025-03-05T00:00:00.000Z,401.02,388.61,MSFT
2025-03-06T00:00:00.000Z,396.89,401.02,MSFT
2025-03-07T00:00:00.000Z,393.31,396.89,MSFT
2025-03-10T00:00:00.000Z,380.16,393.31,MSFT
2025-03-11T00:00:00.000Z,380.45,380.16,MSFT
2025-03-12T00:00:00.000Z,383.27,380.45,MSFT
2025-03-13T00:00:00.000Z,378.77,383.27,MSFT
2025-03-14T00:00:00.000Z,388.56,378.77,MSFT
2025-03-17T00:00:00.000Z,388.7,388.56,MSFT
2025-03-18T00:00:00.000Z,383.52,388.7,MSFT
2025-03-19T00:00:00.000Z,387.82,383.52,MSFT
2025-03-20T00:00:00.000Z,386.84,387.82,MSFT
2025-03-21T00:00:00.000Z,391.26,386.84,MSFT
2025-03-24T00:00:00.000Z,393.08,391.26,MSFT
2025-03-25T00:00:00.000Z,395.16,393.08,MSFT
2025-03-26T00:00:00.000Z,389.97,395.16,MSFT
2025-03-27T00:00:00.000Z,390.58,389.97,MSFT
2025-03-28T00:00:00.000Z,378.8,390.58,MSFT
2025-03-31T00:00:00.000Z,375.39,378.8,MSFT
2025-04-01T00:00:00.000Z,382.19,375.39,MSFT
2025-04-02T00:00:00.000Z,382.14,382.19,MSFT
2025-04-03T00:00:00.000Z,373.11,382.14,MSFT
2025-04-04T00:00:00.000Z,359.84,373.11,MSFT
2025-04-07T00:00:00.000Z,357.86,359.84,MSFT
2025-04-08T00:00:00.000Z,354.56,357.86,MSFT
2025-04-09T00:00:00.000Z,390.49,354.56,MSFT
2025-04-10T00:00:00.000Z,381.35,390.49,MSFT
2025-04-11T00:00:00.000Z,388.45,381.35,MSFT
2025-04-14T00:00:00.000Z,387.81,388.45,MSFT
2025-04-15T00:00:00.000Z,385.73,387.81,MSFT
2025-04-16T00:00:00.000Z,371.61,385.73,MSFT
2025-04-17T00:00:00.000Z,367.78,371.61,MSFT
2025-04-21T00:00:00.000Z,359.12,367.78,MSFT
2025-04-22T00:00:00.000Z,366.82,359.12,MSFT
2025-04-23T00:00:00.000Z,374.39,366.82,MSFT
2025-04-24T00:00:00.000Z,387.3,374.39,MSFT
2025-04-25T00:00:00.000Z,391.85,387.3,MSFT
2025-04-28T00:00:00.000Z,391.16,391.85,MSFT
2025-04-29T00:00:00.000Z,394.04,391.16,MSFT
2025-04-30T00:00:00.000Z,395.26,394.04,MSFT
