stock_ticker,price_change,recommendation_id,previous_close,latest_close,sentiment_summary,timestamp,experiment_day
MSFT,2.0912257372843706,qOvYffHvXDI863mBMIl9,359.1199951171875,366.6300048828125,"{'negative': 348.4184000000003, 'neutral': 354.7511000000003, 'positive': 444.1918000000008}",2025-04-22T21:55:59.790231,90
TSLA,2.43835913717656,s8fpKD4smt9ha0wg629Y,328.5,336.510009765625,"{'negative': 63.781499999999994, 'neutral': 74.42380000000001, 'positive': 53.595600000000005}",2025-02-13T00:28:23.435032,14
NVDA,0.8548384878192927,teGEMVrvJp8WC0htUiAW,128.67999267578125,129.77999877929688,"{'negative': 40.292500000000004, 'neutral': 41.754200000000004, 'positive': 57.19890000000001}",2025-02-07T21:55:53.579655,8
NVDA,3.361261669390198,RfvOHWw1hZbpmnbaMTxY,94.30999755859375,97.4800033569336,"{'negative': 316.5322000000003, 'neutral': 300.0573, 'positive': 316.5702999999999}",2025-04-07T21:56:26.543773,75
AAPL,1.7850126846508596,wHpyLBi59OxwySMuBMmf,228.00999450683594,232.0800018310547,"{'negative': 17.1658, 'neutral': 15.251700000000001, 'positive': 21.8113}",2025-02-04T17:51:13.553717,5
NVO,-0.35176150828737096,QYDtxQlgelWW8s749dJ0,89.55000305175781,89.23500061035156,"{'negative': 125.1728, 'neutral': 234.2437999999996, 'positive': 73.96269999999998}",2025-02-27T21:56:19.382706,36
TSLA,1.8214714280444928,FkwpUsmqqHkoRgRFPqc5,354.1099853515625,360.55999755859375,"{'negative': 134.29760000000002, 'neutral': 141.70229999999995, 'positive': 100.11830000000003}",2025-02-20T09:06:28.434136,29
MSFT,-1.174107060033724,ao2WvZu8IbQPJyfGGEHn,383.2699890136719,378.7699890136719,"{'negative': 195.87410000000003, 'neutral': 184.4492, 'positive': 268.31010000000003}",2025-03-13T21:56:46.026318,50
MSFT,-3.347535773561868,tRZ4WTuugNCFxjmqQixz,373.1099853515625,360.6199951171875,"{'negative': 287.1404000000002, 'neutral': 281.2369000000001, 'positive': 365.23720000000037}",2025-04-04T21:56:08.763369,72
MSFT,-3.343417146299552,dnJ9sILjYmOFfvgm4C2M,393.30999755859375,380.1600036621094,"{'negative': 177.9519, 'neutral': 168.01840000000004, 'positive': 248.60539999999997}",2025-03-10T21:55:53.361901,47
NVDA,0.0,RNXaNRxBrU6CIGoYfdvk,,,"{'negative': 89.7263, 'neutral': 80.54819999999995, 'positive': 109.71060000000001}",2025-02-19T11:36:00.188333,20
TSLA,7.5938912168391175,ya3Tr1khyDJUYRxX84ry,230.5800018310547,248.08999633789062,"{'negative': 243.32479999999998, 'neutral': 274.90169999999983, 'positive': 139.0191}",2025-03-12T21:55:43.095269,49
TSLA,-3.9630120487999068,WiRzcILEU7FX1X7qAlX4,302.79998779296875,290.79998779296875,"{'negative': 171.44529999999997, 'neutral': 187.33589999999998, 'positive': 122.05060000000003}",2025-02-27T09:41:08.889796,36
NVDA,-5.7419837310387205,5zUl4CfRp8MlKkIMo5zc,120.69000244140625,113.76000213623047,"{'negative': 248.93990000000002, 'neutral': 250.3534999999998, 'positive': 289.90129999999994}",2025-03-27T07:13:45.245664,64
AAPL,-1.4370093464409202,rAR43XC1jWcexA2C1JA5,247.0399932861328,243.49000549316406,"{'negative': 136.75560000000002, 'neutral': 160.2614000000001, 'positive': 149.2915}",2025-02-26T18:03:57.920368,35
NVO,-1.0639599371248962,mbqZGRzFxf7HkzfAjxdd,78.94999694824219,78.11000061035156,"{'negative': 156.00890000000004, 'neutral': 315.9729, 'positive': 94.60659999999994}",2025-03-11T21:56:17.708413,48
AAPL,0.7979731358401163,6MSpCTCesswImayap3hj,209.27999877929688,210.9499969482422,"{'negative': 430.0109000000003, 'neutral': 427.72670000000073, 'positive': 354.61310000000003}",2025-04-28T21:55:59.702008,90
MSFT,0.0,a9EMdVQcPatc2KM7RqY1,,,"{'negative': 81.76599999999998, 'neutral': 88.89689999999999, 'positive': 116.78679999999996}",2025-02-19T11:35:51.855959,20
NVDA,-1.2500027288872884,0oTdAxcDjwWgF30bXS4f,132.8000030517578,131.13999938964844,"{'negative': 61.45169999999999, 'neutral': 56.71540000000001, 'positive': 73.62970000000004}",2025-02-13T00:28:45.808733,14
NVO,1.5979221212620007,lNfvEWrFGHkigEnbhbXd,62.54999923706055,63.54949951171875,"{'negative': 249.43290000000007, 'neutral': 479.2208999999999, 'positive': 162.84259999999992}",2025-04-07T21:56:37.513850,75
NVO,0.61982917407866,T8Z41y1sEjGltMo47eIg,58.08000183105469,58.439998626708984,"{'negative': 290.4591000000002, 'neutral': 568.4290999999998, 'positive': 208.59749999999997}",2025-04-21T21:56:31.291679,89
NVDA,1.4225377672795856,mzdhKAqGWomicHOhjrk9,115.98999786376953,117.63999938964844,"{'negative': 171.55509999999995, 'neutral': 143.22469999999993, 'positive': 208.18869999999993}",2025-03-05T21:56:32.362294,42
MSFT,0.7412213736784072,vPXnx1KL3ae3kcFWdZxH,380.45001220703125,383.2699890136719,"{'negative': 191.07549999999998, 'neutral': 177.5714, 'positive': 262.00329999999997}",2025-03-12T21:56:02.999224,49
TSLA,-15.426206822195121,hi7bQN8oYwnCnxmT2NSS,262.6700134277344,222.14999389648438,"{'negative': 232.14509999999996, 'neutral': 251.3664999999999, 'positive': 138.3597}",2025-03-10T21:55:34.759657,47
MSFT,-3.016027237513698,833X9yl4JwVtoUy7VZZl,390.5799865722656,378.79998779296875,"{'negative': 249.87240000000006, 'neutral': 254.3548, 'positive': 339.6736000000003}",2025-03-28T21:55:56.690123,65
NVO,-3.6984979728795038,SgL6a20WsStQX8RmLcva,81.79000091552734,78.76499938964844,"{'negative': 72.20920000000001, 'neutral': 104.42860000000009, 'positive': 24.0849}",2025-02-13T21:56:32.129864,14
MSFT,0.45991885345940414,hTOV08LS8nLZ2A14GAWk,397.8999938964844,399.7300109863281,"{'negative': 130.8184999999999, 'neutral': 127.9013, 'positive': 190.65580000000008}",2025-02-27T09:41:25.822209,36
NVO,-3.177393652448621,pIAZiEiGKzUNwMucPASz,62.630001068115234,60.63999938964844,"{'negative': 296.7781000000003, 'neutral': 602.3236999999999, 'positive': 219.52429999999995}",2025-04-25T15:31:25.187785,90
MSFT,0.07628591701604621,DaGGkdTf8CkRPtw3VaFs,380.1600036621094,380.45001220703125,"{'negative': 186.46220000000002, 'neutral': 171.5986, 'positive': 255.14069999999995}",2025-03-11T21:56:00.304846,48
NVO,-0.19963812762384472,nd31CaQGVJzKvU7oQ2n0,82.6500015258789,82.48500061035156,"{'negative': 15.3121, 'neutral': 41.11609999999999, 'positive': 9.302}",2025-02-04T22:12:20.787993,5
TSLA,2.223206563315624,MXcMCMZudYkVyN41KYLH,383.67999267578125,392.2099914550781,"{'negative': 22.751199999999997, 'neutral': 28.225200000000005, 'positive': 17.6616}",2025-02-04T22:11:36.848733,5
NVDA,-7.529974842758605,TqRznWsgwTKBY6y0KOmj,110.41999816894531,102.10540008544922,"{'negative': 295.51390000000026, 'neutral': 290.94159999999994, 'positive': 310.6275}",2025-04-03T21:56:07.390917,71
NVO,5.807875115746555,1fW5N7SBxzF3CcGK4y1A,61.209999084472656,64.76499938964844,"{'negative': 264.65160000000014, 'neutral': 515.0765999999999, 'positive': 184.03719999999998}",2025-04-11T21:56:32.302168,79
AAPL,3.220128961885732,1ywkAL3VXxGQ4PnzVjaX,193.16000366210938,199.3800048828125,"{'negative': 407.77680000000015, 'neutral': 405.86490000000043, 'positive': 344.98890000000006}",2025-04-22T21:55:50.326301,90
TSLA,-5.182839960800735,n16giIRLqeKZZyIUvj4d,282.760009765625,268.1050109863281,"{'negative': 341.70639999999986, 'neutral': 409.0178000000004, 'positive': 184.28139999999993}",2025-04-03T21:55:37.547716,71
MSFT,0.40031854373556025,FRgUgJAkedpdNWrQ2LDn,410.9200134277344,412.56500244140625,"{'negative': 14.6452, 'neutral': 14.380200000000002, 'positive': 23.473399999999998}",2025-02-04T17:51:20.460810,5
MSFT,-1.0974695775527101,gclETq919WwNtE5qJ0Of,408.2099914550781,403.7300109863281,"{'negative': 110.63989999999994, 'neutral': 118.1492, 'positive': 167.76700000000008}",2025-02-24T21:55:54.780415,33
TSLA,3.7947369642956,g5pOhMy9bNayeqwP4hF3,222.14999389648438,230.5800018310547,"{'negative': 238.87049999999996, 'neutral': 262.00919999999985, 'positive': 138.3597}",2025-03-11T21:55:42.242534,48
NVO,3.764222351687373,AvSScXQi0tMApZgSqSeF,82.62000274658203,85.7300033569336,"{'negative': 21.4034, 'neutral': 50.034599999999976, 'positive': 9.8479}",2025-02-05T22:06:11.999745,6
NVDA,-5.417735031199864,rBWrQOawiPanO2x7V0Lv,117.30000305175781,110.94499969482422,"{'negative': 176.27839999999995, 'neutral': 148.22729999999999, 'positive': 216.2870999999999}",2025-03-06T21:56:05.191645,43
MSFT,-1.7912099330350923,6qEkdaWYl3zO10uMhvrH,399.7300109863281,392.57000732421875,"{'negative': 138.19989999999993, 'neutral': 132.49020000000004, 'positive': 197.08210000000008}",2025-02-27T21:56:01.750094,36
AAPL,-2.91893771512173,ksZDOZkEvt1MqCLtHt7s,227.47999572753906,220.83999633789062,"{'negative': 201.76719999999995, 'neutral': 221.40280000000007, 'positive': 203.2168000000001}",2025-03-11T21:55:51.356007,48
AAPL,-0.12726013606821263,8k35RY3IspxFeCn5JKaN,235.74000549316406,235.44000244140625,"{'negative': 179.6723, 'neutral': 205.0153000000001, 'positive': 186.4197000000001}",2025-03-06T21:55:46.728570,43
TSLA,0.39329829222258295,vzXYAHws4Lttvus9TYvQ,272.05999755859375,273.1300048828125,"{'negative': 303.54799999999994, 'neutral': 375.4792000000001, 'positive': 169.50759999999994}",2025-03-27T22:11:43.488011,64
NVDA,-5.06699703679712,cciRvW3vozcGAozC0jFh,112.69000244140625,106.9800033569336,"{'negative': 192.31489999999994, 'neutral': 158.8002, 'positive': 226.22709999999987}",2025-03-10T21:56:02.007634,47
MSFT,0.2231038724029679,DnLZNRPmMHj0PTgmiXVX,412.3699951171875,413.2900085449219,"{'negative': 28.3209, 'neutral': 30.933699999999998, 'positive': 47.3538}",2025-02-05T22:07:02.449655,6
MSFT,-0.9742342367600193,5yEO9mfvPFFAm2IJSCoV,378.79998779296875,375.1095886230469,"{'negative': 255.67290000000003, 'neutral': 259.56860000000006, 'positive': 346.52570000000037}",2025-03-31T21:56:00.450751,68
